Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Non-discrimination and equal opportunity,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,150-151,,,,11.11.7
Forced labor and modern slavery,GRI 3: Material Topics 2021,3-3 Management of material topics,145-151,,,,11.12.1
Forced labor and modern slavery,GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,145-151,,,,11.12.2
Freedom of association and collective bargaining,GRI 3: Material Topics 2021,3-3 Management of material topics,145-151,,,,11.13.1
Freedom of association and collective bargaining,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,145-151,,,,11.13.2
Local communities,GRI 3: Material Topics 2021,3-3 Management of material topics,121-134,,,,11.15.1
Local communities,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",121-134,,,,11.15.2
Local communities,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,121-134,,,,11.15.3
Land and Resouce Rights,GRI 3: Material Topics 2021,3-3 Management of material topics,145-151,,,,11.16.1
Rights of indigenous peoples,GRI 3: Material Topics 2021,3-3 Management of material topics,145-151,,,,11.17.1
Rights of indigenous peoples,GRI 411: Rights of Indigenous Peoples 2016,411-1 Incidents of violations involving rights of indigenous peoples,145-151,,,,11.17.2
Conflict and security,GRI 3: Material Topics 2021,3-3 Management of material topics,145-151,,,,11.18.1
Conflict and security,GRI 410: Security Practices 2016,410-1 Security personnel trained in human rights policies or procedures,145-151,,,,11.18.2
Public policy,GRI 3: Material Topics 2021,3-3 Management of material topics,AR 231,,,,11.22.1
Public policy,GRI 415: Public Policy 2016,415-1 Political contributions,AR 231,,,,11.22.2
