case_id,stratum,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,human_correct_status,human_systems_correct,human_notes
039,0100,OKQ82024,phase5,GRI 3,3-3,Supplier social assessment,e.ii,0,partial,"4",
040,0101,Bapco2023,phase6,GRI 403: Occupational Health and Safety 2018,403-4,"Health, safety and well-being",a,0,partial,"2,4",
041,0101,OQ2023,phase5,GRI 3,3-3,Water Management,e.iv,0,no_evidence,"2,4",
042,0101,Mubadala2023,phase6,GRI 403: Occupational Health and Safety 2018,403-4,"Health, Safety & Security of People",a,0,pass,"1,2",
043,0101,Mubadala2023,phase6,GRI 205: Anti-corruption 2016,205-2,Governance & Business Ethics,b,0,partial,"2,4",
044,0101,HPCL2023,phase6,GRI 403: Occupational Health and Safety 2018,403-4,Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),a,0,pass,"1,4",
045,0110,Bangchak2025,phase6,GRI 303: Water and Effluents 2018,303-1,Water and effluents,d,0,no_evidence,"none",
046,0110,HPCL2023,phase6,GRI 302: Energy 2016,302-2,Energy Efficiency (GRI OGSS Topic : GHG Emissions),b,0,partial,"1,3",
047,0110,Mubadala2023,phase6,GRI 306: Waste 2020,306-3,Spills & Waste Management,a,1,partial,"2,4",
048,0110,OQ2023,phase3,GRI 2,2-7,__none__,e,0,no_evidence,"1,2",
049,0111,OQ2023,phase5,GRI 3,3-3,Economic Impact,e.i,0,partial,"4",
050,0111,Mubadala2023,phase6,GRI 306: Waste 2020,306-3,Spills & Waste Management,c,0,no_evidence,"1",
051,0111,Bangchak2024,phase5,GRI 3,3-3,Forced labor and modern slavery,e.i,0,pass,"none",
052,0111,Bangchak2025,phase5,GRI 3,3-3,Air emissions,e.iv,0,no_evidence,"2,3,4",
053,0111,Mubadala2023,phase6,GRI 303: Water and Effluents 2018,303-4,Water Resource Management,a.iii,0,no_evidence,"2,3,4",
054,0111,Mubadala2023,phase5,GRI 3,3-3,Biodiversity & Ecosystem,e.i,0,partial,"1",
055,0111,HPCL2024,phase3,GRI 2,2-25,__none__,c,0,partial,"2",
056,1000,Bapco2023,phase6,GRI 304: Biodiversity 2016,304-2,Biodiversity and landscape,b.ii,0,partial,"4",
057,1000,Energean2024,phase6,GRI 303: Water and Effluents 2018,303-1,Water and marine resources,b,0,pass,"1,2,4",
058,1000,IslandOil2024,phase6,GRI 303: Water and Effluents 2018,303-1,Preserving Water Quality and Marine Ecosystems,d,0,no_evidence,"2,3,4",
059,1000,Bunduq2023,phase5,GRI 3,3-3,Waste Management,f,0,partial,"4",
060,1000,IslandOil2024,phase6,GRI 303: Water and Effluents 2018,303-1,Preserving Water Quality and Marine Ecosystems,b,0,pass,"none",
061,1000,HPCL2023,phase5,GRI 3,3-3,Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),e.iii,0,no_evidence,"2,3,4",
062,1000,Desfa2023,phase3,GRI 2,2-24,__none__,a.iii,0,pass,"1,2,4",
063,1000,OKQ82023,phase5,GRI 3,3-3,Water and effluents,a,0,partial,"1",
064,1000,Bangchak2025,phase5,GRI 3,3-3,Asset integrity and critical incident management,f,0,no_evidence,"1,2,3",
065,1000,Bangchak2024,phase5,GRI 3,3-3,Water and effluents,b,0,pass,"3",
066,1000,Bangchak2025,phase5,GRI 3,3-3,Employment Practices,e.iv,0,partial,"2",
067,1001,OKQ82024,phase6,GRI 302: Energy 2016,302-1,Energy,g,0,no_evidence,"1,3",
068,1001,Mubadala2023,phase6,GRI 305: Emissions 2016,305-5,GHG & Other Air Emissions,a,0,partial,"1,3",
069,1001,IslandOil2024,phase6,GRI 403: Occupational Health and Safety 2018,403-9,Caring for our people,b.iii,0,partial,"1,4",
070,1001,Desfa2023,phase5,GRI 3,3-3,Land rights,b,0,pass,"1,2",
071,1010,OKQ82023,phase5,GRI 3,3-3,Biodiversity,e.i,0,partial,"1,2",
072,1010,OQ2023,phase5,GRI 3,3-3,Supply Chain Management & ICV,f,0,partial,"2,4",
073,1010,HPCL2024,phase5,GRI 3,3-3,"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Anti-competitive Behaviour)",e.iii,0,partial,"1,2",
074,1010,OQ2023,phase5,GRI 3,3-3,Economic Impact,e.i,2,partial,"2,3",
075,1010,HPCL2023,phase6,GRI 401: Employment 2016,401-3,Manpower Management (GRI OGSS Topic: Employment Practices),b,0,partial,"4",
076,1011,OKQ82024,phase3,GRI 2,2-25,__none__,e,0,partial,"1,2,4",
077,1011,Energean2024,phase5,GRI 3,3-3,Business conduct,e.ii,0,no_evidence,"1,2,4",
078,1011,Desfa2023,phase5,GRI 3,3-3,Carbon Footprint,b,0,pass,"1,2,4",
079,1011,Bapco2023,phase6,GRI 401: Employment 2016,401-2,Employment (Employment Attraction & Retention),a.ii,0,partial,"1",
080,1011,Bunduq2023,phase3,GRI 2,2-27,__none__,d,0,no_evidence,"1,2,4",
081,1011,Desfa2023,phase5,GRI 3,3-3,Business conduct,f,0,no_evidence,"2,3,4",
082,1011,Mubadala2023,phase5,GRI 3,3-3,National Talent Enhancement,a,0,no_evidence,"1,3,4",
083,1011,Bapco2024,phase5,GRI 3,3-3,Water and effluents,e.iii,0,no_evidence,"1,2,3",
084,1100,Energean2024,phase6,GRI 201: Economic Performance 2016,201-3,Generating economic value,e,0,partial,"2,3",
085,1100,OQ2023,phase5,GRI 3,3-3,Business Ethics & Anti-corruption,a,0,no_evidence,"2,4",
086,1100,Desfa2023,phase5,GRI 3,3-3,Employment practices,e.iv,0,pass,"3",
087,1100,Mubadala2023,phase5,GRI 3,3-3,Reliable & Efficient Operations,e.ii,0,no_evidence,"none",
088,1100,Bapco2023,phase5,GRI 3,3-3,Risk & Crisis Management,e.iv,0,no_evidence,"1,4",
089,1100,Energean2024,phase5,GRI 3,3-3,Pollution,d.iii,0,pass,"3,4",
090,1100,Bangchak2025,phase5,GRI 3,3-3,Water and effluents,e.iv,0,partial,"none",
091,1100,Bapco2023,phase3,GRI 2,2-23,__none__,a.i,0,no_evidence,"1,2",
092,1100,Mubadala2023,phase3,GRI 2,2-24,__none__,a.i,0,partial,"2,3",
093,1100,Bangchak2025,phase6,GRI 207: Tax 2019,207-4,Payments to governments,b.viii,0,no_evidence,"2,3",
094,1100,HPCL2024,phase6,GRI 302: Energy 2016,302-3,Energy Efficiency (GRI OGSS Topic : GHG Emissions),d,0,no_evidence,"2,4",
095,1100,Bapco2024,phase6,GRI 403: Occupational Health and Safety 2018,403-2,"Health, safety and well-being",d,0,no_evidence,"3,4",
096,1100,HPCL2023,phase5,GRI 3,3-3,Manpower Management (GRI: Labour/Management Relations 2016),a,0,no_evidence,"2,4",
097,1100,Bangchak2025,phase5,GRI 3,3-3,Occupational health and safety,b,0,pass,"2,3",
098,1100,Energean2024,phase6,GRI 403: Occupational Health and Safety 2018,403-10,Own workforce,c.i,0,no_evidence,"3,4",
099,1100,Bapco2023,phase5,GRI 3,3-3,Cybersecurity & Data Privacy,e.ii,0,no_evidence,"1,2",
100,1100,Mubadala2023,phase6,GRI 302: Energy 2016,302-4,Energy Consumption & Efficiency,c,0,partial,"1,4",
101,1101,Bangchak2025,phase5,GRI 3,3-3,Information technology and cybersecurity,e.i,0,pass,"1,2,3",
102,1101,Mubadala2024,phase6,GRI 303: Water and Effluents 2018,303-5,Water Resource Management,d,0,partial,"1,2,4",
103,1101,Desfa2023,phase3,GRI 2,2-22,__none__,a,0,pass,"2,4",
104,1101,Mubadala2024,phase3,GRI 2,2-26,__none__,a.ii,0,pass,"1,2,4",
105,1101,Bangchak2025,phase3,GRI 2,2-8,__none__,c,0,partial,"none",
106,1101,Bangchak2025,phase6,GRI 414: Supplier Social Assessment 2016,414-2,Supplier chain management,a,0,no_evidence,"3",
107,1101,OKQ82024,phase3,GRI 2,2-24,__none__,a.i,0,pass,"1,2,4",
108,1101,Mubadala2023,phase6,GRI 305: Emissions 2016,305-3,GHG & Other Air Emissions,f,0,no_evidence,"1,2,3",
109,1110,Mubadala2023,phase5,GRI 3,3-3,Contributing to Communities & Societies,d.i,0,pass,"1,2,4",
110,1110,Energean2024,phase5,GRI 3,3-3,Climate Change,e.i,0,pass,"1,2,3",
111,1110,OQ2023,phase5,GRI 3,3-3,Occupational Health and Safety,d.ii,0,pass,"1,2,3",
112,1110,Bunduq2023,phase6,GRI 403: Occupational Health and Safety 2018,403-1,Occupational health and safety,a.i,0,partial,"none",
113,1110,Bangchak2025,phase6,GRI 306: Waste 2020,306-2,Waste,a.i,0,no_evidence,"2,3,4",
114,1110,HPCL2023,phase5,GRI 3,3-3,Safety and security of critical assets (GRI OGSS Topic: Asset Integrity and Critical Incident Management),d.iii,0,pass,"2,3,4",
115,1110,HPCL2024,phase6,GRI 304: Biodiversity 2016,304-2,Biodiversity (GRI OGSS Topic: Biodiversity),b.ii,0,no_evidence,"2,3,4",
116,1110,Mubadala2024,phase6,GRI 414: Supplier Social Assessment 2016,414-2,Responsible Procurement,c,0,pass,"2",
117,1110,OKQ82023,phase5,GRI 3,3-3,Energy,e.ii,0,pass,"2,3,4",
118,1110,Bapco2023,phase6,GRI 403: Occupational Health and Safety 2018,403-2,"Health, safety and well-being",a.i,0,partial,"2,3,4",
119,1111,Bapco2023,phase6,GRI 404: Training and Education 2016,404-1,"Diversity, Inclusion & Equal Opportunity",a.ii,0,no_evidence,"1,2,3",
120,1111,Mubadala2023,phase6,GRI 404: Training and Education 2016,404-1,Talent Building & Retention,a.ii,0,no_evidence,"1,3,4",
